epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0861,1.59535,3.36029,1.81886,0.46982,0.10322,0.23269,0.13554,1.01396,3.68658,1.57565,0.00025722,0.00025722,0.00025722
2,79.8311,0.8464,2.30962,1.29127,0.33743,0.62701,0.43248,0.3302,0.83162,2.83342,1.39822,0.000523496,0.000523496,0.000523496
3,119.824,0.76088,1.77001,1.187,0.51426,0.81077,0.56768,0.42249,0.85115,2.41765,1.43484,0.000784395,0.000784395,0.000784395
4,161.359,0.72022,1.45915,1.13764,0.47888,0.776,0.62134,0.4806,0.81629,2.03232,1.33952,0.00103992,0.00103992,0.00103992
5,201.653,0.68656,1.32186,1.10742,0.47996,0.62244,0.57666,0.42494,0.84987,1.99785,1.41016,0.00129007,0.00129007,0.00129007
6,243.059,0.68622,1.23945,1.11545,0.4351,0.83703,0.67285,0.51312,0.81995,1.72027,1.32893,0.00135826,0.00135826,0.00135826
7,286.098,0.68798,1.13114,1.10848,0.40646,0.72263,0.53747,0.44463,0.81116,1.65117,1.3169,0.00134412,0.00134412,0.00134412
8,329.745,0.63796,1.04812,1.08225,0.59154,0.61971,0.61667,0.50211,0.66637,1.28649,1.16244,0.00132997,0.00132997,0.00132997
9,376.838,0.64402,0.95888,1.08475,0.6017,0.63191,0.62512,0.50018,0.72156,1.41301,1.26899,0.00131582,0.00131582,0.00131582
10,426.178,0.62488,0.88104,1.06024,0.87031,0.68047,0.72486,0.61479,0.63128,0.92344,1.11492,0.00130168,0.00130168,0.00130168
11,474.409,0.59447,0.80563,1.0498,0.8556,0.52952,0.59421,0.4676,0.7086,1.1847,1.27367,0.00128753,0.00128753,0.00128753
12,524.479,0.57887,0.75779,1.04171,0.91344,0.64911,0.68311,0.58573,0.63719,0.74571,1.16138,0.00127338,0.00127338,0.00127338
13,575.679,0.60903,0.77154,1.04108,0.87015,0.65556,0.68339,0.57189,0.6494,0.76769,1.21714,0.00125923,0.00125923,0.00125923
14,623.451,0.59857,0.77835,1.05506,0.78884,0.51333,0.52849,0.45488,0.6703,0.88151,1.13746,0.00124509,0.00124509,0.00124509
15,676.712,0.5925,0.77261,1.03932,0.73601,0.65656,0.68197,0.58258,0.64567,0.86659,1.15283,0.00123094,0.00123094,0.00123094
16,730.735,0.57059,0.68578,1.03212,0.80616,0.88395,0.9389,0.80524,0.55781,0.77102,1.06393,0.00121679,0.00121679,0.00121679
17,787.128,0.57597,0.62071,1.03445,0.86701,0.78019,0.91714,0.78481,0.63814,0.94639,1.11695,0.00120265,0.00120265,0.00120265
18,842.317,0.5655,0.64737,1.03252,0.98509,0.74295,0.76282,0.67261,0.54174,0.56043,1.046,0.0011885,0.0011885,0.0011885
19,891.396,0.54955,0.62315,1.01491,0.94468,0.89814,0.95968,0.82013,0.65127,0.66397,1.16454,0.00117435,0.00117435,0.00117435
20,939.297,0.52273,0.54744,0.99681,0.85147,0.94254,0.9498,0.8336,0.54021,0.61204,1.04743,0.00116021,0.00116021,0.00116021
21,988.461,0.55451,0.58005,1.03065,0.8935,0.85568,0.91672,0.81629,0.54557,0.62033,1.04267,0.00114606,0.00114606,0.00114606
22,1040.08,0.54324,0.54274,1.026,0.78813,0.83804,0.93272,0.82073,0.5337,0.76078,1.00515,0.00113191,0.00113191,0.00113191
23,1086.35,0.55359,0.59375,1.0168,0.9691,0.90759,0.95039,0.85002,0.50928,0.54502,0.99334,0.00111776,0.00111776,0.00111776
24,1129.9,0.55734,0.55671,1.02099,0.92542,0.83533,0.95797,0.85402,0.47063,0.648,0.99288,0.00110362,0.00110362,0.00110362
25,1174.34,0.54161,0.54952,1.01524,0.95888,0.91431,0.96933,0.86006,0.51078,0.46106,1.00181,0.00108947,0.00108947,0.00108947
26,1218.15,0.54625,0.5216,1.01515,0.97119,0.91609,0.97758,0.88858,0.44103,0.47378,0.94406,0.00107532,0.00107532,0.00107532
27,1270.1,0.52528,0.519,1.00037,0.95847,0.87309,0.93705,0.83489,0.52613,0.5807,1.02295,0.00106118,0.00106118,0.00106118
28,1312.92,0.54082,0.50702,1.00446,0.89453,0.90666,0.96329,0.87353,0.47654,0.64046,0.9725,0.00104703,0.00104703,0.00104703
29,1356.78,0.55681,0.48366,1.01835,0.91593,0.92576,0.96065,0.85497,0.53953,0.44717,1.07742,0.00103288,0.00103288,0.00103288
30,1400.88,0.54369,0.48175,1.01569,0.99253,0.92992,0.96831,0.86875,0.48826,0.36686,0.98631,0.00101873,0.00101873,0.00101873
31,1445.85,0.53797,0.46347,1.01139,0.91253,0.90924,0.95344,0.84903,0.50061,0.47967,1.00523,0.00100459,0.00100459,0.00100459
32,1489.19,0.52943,0.49275,1.00516,0.98175,0.96235,0.97085,0.88894,0.43099,0.38651,0.95963,0.00099044,0.00099044,0.00099044
33,1533.42,0.52449,0.47359,1.00135,0.78841,0.78964,0.943,0.8419,0.47949,0.77057,0.98644,0.000976293,0.000976293,0.000976293
34,1577.53,0.51204,0.47833,0.99662,0.99013,0.88555,0.9693,0.87376,0.49304,0.49692,1.0099,0.000962146,0.000962146,0.000962146
35,1622.35,0.50962,0.46484,0.98944,0.84103,0.70125,0.90507,0.80727,0.49317,0.86152,1.01206,0.000947999,0.000947999,0.000947999
36,1676.59,0.5059,0.43564,0.99136,0.88132,0.90633,0.96177,0.87429,0.51239,0.53866,1.00526,0.000933851,0.000933851,0.000933851
37,1721.47,0.50635,0.43927,0.99233,0.8891,0.93028,0.95594,0.86816,0.47706,0.4865,0.98099,0.000919704,0.000919704,0.000919704
38,1765.51,0.48597,0.43544,0.99135,0.97412,0.92156,0.96118,0.88376,0.41565,0.39543,0.93309,0.000905557,0.000905557,0.000905557
39,1810.92,0.49397,0.43425,0.99035,0.96614,0.95917,0.96774,0.89182,0.43829,0.36629,0.94566,0.00089141,0.00089141,0.00089141
40,1860.31,0.49194,0.41332,0.97605,0.96151,0.88211,0.95325,0.85168,0.46299,0.4444,0.95103,0.000877263,0.000877263,0.000877263
41,1906.01,0.49529,0.42275,0.99413,0.98535,0.92475,0.95977,0.88387,0.43771,0.37178,0.9628,0.000863116,0.000863116,0.000863116
42,1951.08,0.4771,0.40966,0.98445,0.98458,0.94539,0.97475,0.88246,0.44334,0.33319,0.94443,0.000848969,0.000848969,0.000848969
43,1995.33,0.48531,0.40489,0.97889,0.98104,0.91339,0.96754,0.88874,0.40579,0.37525,0.92111,0.000834822,0.000834822,0.000834822
44,2039.89,0.48223,0.38992,0.98732,0.97435,0.92241,0.95484,0.87808,0.40584,0.36802,0.9066,0.000820675,0.000820675,0.000820675
45,2089.03,0.48346,0.38374,0.98572,0.9511,0.96711,0.97743,0.8901,0.42482,0.40189,0.91812,0.000806528,0.000806528,0.000806528
46,2134.77,0.48603,0.39377,0.98668,0.97467,0.95347,0.97293,0.88684,0.43197,0.40803,0.94086,0.00079238,0.00079238,0.00079238
47,2180.45,0.46999,0.37783,0.96861,0.96362,0.92879,0.96701,0.88384,0.41724,0.33596,0.91247,0.000778233,0.000778233,0.000778233
48,2231.87,0.48236,0.38447,0.98256,0.9814,0.93721,0.97049,0.88945,0.43126,0.33443,0.93067,0.000764086,0.000764086,0.000764086
49,2278.96,0.48294,0.38758,0.99326,0.98286,0.96267,0.98445,0.92222,0.44627,0.33841,0.91924,0.000749939,0.000749939,0.000749939
50,2325.51,0.46866,0.36832,0.97519,0.9685,0.96084,0.98221,0.91169,0.40911,0.31274,0.90322,0.000735792,0.000735792,0.000735792
51,2373.73,0.46416,0.36154,0.97257,0.97119,0.94518,0.98265,0.91301,0.39782,0.31694,0.91623,0.000721645,0.000721645,0.000721645
52,2428.45,0.46093,0.35816,0.97231,0.97768,0.93569,0.98663,0.90463,0.42653,0.31474,0.91951,0.000707498,0.000707498,0.000707498
53,2481.36,0.47372,0.37922,0.97548,0.995,0.95689,0.97771,0.89446,0.42088,0.32724,0.92923,0.000693351,0.000693351,0.000693351
54,2533.92,0.46828,0.37968,0.97075,0.98093,0.9288,0.97329,0.90549,0.40271,0.3442,0.91114,0.000679204,0.000679204,0.000679204
55,2582.26,0.44319,0.35636,0.95493,0.98745,0.94215,0.98111,0.90793,0.38919,0.29692,0.8942,0.000665057,0.000665057,0.000665057
56,2629.06,0.44471,0.35162,0.96449,0.98048,0.95042,0.97754,0.90759,0.39371,0.29634,0.89998,0.000650909,0.000650909,0.000650909
57,2673.6,0.46404,0.36296,0.96868,0.95068,0.98381,0.99156,0.9069,0.38828,0.29267,0.89396,0.000636762,0.000636762,0.000636762
58,2724.84,0.47904,0.36489,0.97716,0.96144,0.94922,0.96557,0.87833,0.40198,0.33373,0.91298,0.000622615,0.000622615,0.000622615
59,2775.28,0.4664,0.35682,0.97398,0.96174,0.94834,0.97486,0.8935,0.40215,0.31241,0.91218,0.000608468,0.000608468,0.000608468
60,2832.91,0.46268,0.33883,0.97392,0.99334,0.95356,0.97651,0.90258,0.36128,0.2814,0.89169,0.000594321,0.000594321,0.000594321
61,2883.3,0.45089,0.34633,0.96561,0.99265,0.95042,0.98852,0.90448,0.43498,0.27922,0.95468,0.000580174,0.000580174,0.000580174
62,2938.33,0.44958,0.34959,0.95354,0.98248,0.95169,0.9851,0.90329,0.4054,0.28345,0.90338,0.000566027,0.000566027,0.000566027
63,2994.34,0.43636,0.32933,0.96478,0.98562,0.975,0.99273,0.90026,0.41662,0.26175,0.90532,0.00055188,0.00055188,0.00055188
64,3052.66,0.44096,0.33739,0.95384,0.9611,0.9656,0.99046,0.9176,0.38187,0.28203,0.8906,0.000537733,0.000537733,0.000537733
65,3111.44,0.43681,0.32582,0.96194,0.96197,0.94648,0.99098,0.91963,0.3897,0.30116,0.89548,0.000523586,0.000523586,0.000523586
66,3173.87,0.44071,0.32373,0.95838,0.97674,0.96586,0.98912,0.91372,0.40141,0.27422,0.89886,0.000509438,0.000509438,0.000509438
